EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116304) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   RR, Q_RR
   334,116304,19520519,   14,    0
   334,116304,19520520,    0,    0
   334,116304,19520521,    6,    0
   334,116304,19520522,    0,    0
   334,116304,19520523,    3,    0
   334,116304,19520524,   89,    0
   334,116304,19520525,    5,    0
   334,116304,19520526,    0,    0
   334,116304,19520527,   53,    0
   334,116304,19520528,    2,    0
   334,116304,19520529,    0,    0
   334,116304,19520530,    0,    0
   334,116304,19520531,    0,    0
   334,116304,19520601,    0,    0
   334,116304,19520602,   41,    0
   334,116304,19520603,   46,    0
   334,116304,19520604,   74,    0
   334,116304,19520605,    0,    0
   334,116304,19520606,    0,    0
   334,116304,19520607,   18,    0
   334,116304,19520608,    0,    0
   334,116304,19520609,   17,    0
   334,116304,19520610,    0,    0
   334,116304,19520611,   15,    0
   334,116304,19520612,    0,    0
   334,116304,19520613,    0,    0
   334,116304,19520614,   19,    0
   334,116304,19520615,    0,    0
   334,116304,19520616,   38,    0
   334,116304,19520617,    0,    0
   334,116304,19520618,    0,    0
   334,116304,19520619,   63,    0
   334,116304,19520620,  101,    0
   334,116304,19520621,    0,    0
   334,116304,19520622,    0,    0
   334,116304,19520623,    1,    0
   334,116304,19520624,    0,    0
   334,116304,19520625,    0,    0
   334,116304,19520626,   23,    0
   334,116304,19520627,    0,    0
   334,116304,19520628,    0,    0
   334,116304,19520629,    0,    0
   334,116304,19520630,    0,    0
   334,116304,19520701,    0,    0
   334,116304,19520702,    0,    0
   334,116304,19520703,    0,    0
   334,116304,19520704,    0,    0
   334,116304,19520705,    0,    0
   334,116304,19520706,    0,    0
   334,116304,19520707,    0,    0
   334,116304,19520708,    0,    0
   334,116304,19520709,    0,    0
   334,116304,19520710,    0,    0
   334,116304,19520711,    0,    0
   334,116304,19520712,    9,    0
   334,116304,19520713,    0,    0
   334,116304,19520714,    0,    0
   334,116304,19520715,   93,    0
   334,116304,19520716,  198,    0
   334,116304,19520717,    0,    0
   334,116304,19520718,    0,    0
   334,116304,19520719,    0,    0
   334,116304,19520720,    0,    0
   334,116304,19520721,    0,    0
   334,116304,19520722,    0,    0
   334,116304,19520723,    2,    0
   334,116304,19520724,    0,    0
   334,116304,19520725,    0,    0
   334,116304,19520726,    0,    0
   334,116304,19520727,    0,    0
   334,116304,19520728,    0,    0
   334,116304,19520729,   17,    0
   334,116304,19520730,    0,    0
   334,116304,19520731,    0,    0
   334,116304,19520801,    0,    0
   334,116304,19520802,    0,    0
   334,116304,19520803,   50,    0
   334,116304,19520804,   15,    0
   334,116304,19520805,    0,    0
   334,116304,19520806,    0,    0
   334,116304,19520807,    0,    0
   334,116304,19520808,   58,    0
   334,116304,19520809,    0,    0
   334,116304,19520810,    7,    0
   334,116304,19520811,    0,    0
   334,116304,19520812,    0,    0
   334,116304,19520813,    0,    0
   334,116304,19520814,   18,    0
   334,116304,19520815,    0,    0
   334,116304,19520816,    0,    0
   334,116304,19520817,    0,    0
   334,116304,19520818,  138,    0
   334,116304,19520819,    0,    0
   334,116304,19520820,    3,    0
   334,116304,19520821,    0,    0
   334,116304,19520822,    6,    0
   334,116304,19520823,    1,    0
   334,116304,19520824,    0,    0
   334,116304,19520825,    2,    0
   334,116304,19520826,    0,    0
   334,116304,19520827,    0,    0
   334,116304,19520828,    0,    0
   334,116304,19520829,    0,    0
   334,116304,19520830,    0,    0
   334,116304,19520831,  163,    0
   334,116304,19520901,    0,    0
   334,116304,19520902,    0,    0
   334,116304,19520903,    0,    0
   334,116304,19520904,    0,    0
   334,116304,19520905,    7,    0
   334,116304,19520906,   16,    0
   334,116304,19520907,  251,    0
   334,116304,19520908,    0,    0
   334,116304,19520909,   78,    0
   334,116304,19520910,    0,    0
   334,116304,19520911,    0,    0
   334,116304,19520912,    7,    0
   334,116304,19520913,    0,    0
   334,116304,19520914,    0,    0
   334,116304,19520915,    0,    0
   334,116304,19520916,    0,    0
   334,116304,19520917,    0,    0
   334,116304,19520918,    0,    0
   334,116304,19520919,   82,    0
   334,116304,19520920,    0,    0
   334,116304,19520921,    0,    0
   334,116304,19520922,    0,    0
   334,116304,19520923,    4,    0
   334,116304,19520924,    0,    0
   334,116304,19520925,    0,    0
   334,116304,19520926,   54,    0
   334,116304,19520927,  133,    0
   334,116304,19520928,    8,    0
   334,116304,19520929,   74,    0
   334,116304,19520930,    7,    0
   334,116304,19521001,   48,    0
   334,116304,19521002,    1,    0
   334,116304,19521003,    0,    0
   334,116304,19521004,    0,    0
   334,116304,19521005,   50,    0
   334,116304,19521006,    0,    0
   334,116304,19521007,   41,    0
   334,116304,19521008,    0,    0
   334,116304,19521009,    0,    0
   334,116304,19521010,    0,    0
   334,116304,19521011,  121,    0
   334,116304,19521012,    1,    0
   334,116304,19521013,    4,    0
   334,116304,19521014,    0,    0
   334,116304,19521015,    0,    0
   334,116304,19521016,    0,    0
   334,116304,19521017,    0,    0
   334,116304,19521018,    0,    0
   334,116304,19521019,    0,    0
   334,116304,19521020,   39,    0
   334,116304,19521021,    3,    0
   334,116304,19521022,    0,    0
   334,116304,19521023,   62,    0
   334,116304,19521024,    0,    0
   334,116304,19521025,    0,    0
   334,116304,19521026,  265,    0
   334,116304,19521027,    2,    0
   334,116304,19521028,    0,    0
   334,116304,19521029,    0,    0
   334,116304,19521030,   74,    0
   334,116304,19521031,  106,    0
   334,116304,19521101,   13,    0
   334,116304,19521102,    6,    0
   334,116304,19521103,   19,    0
   334,116304,19521104,    2,    0
   334,116304,19521105,    0,    0
   334,116304,19521106,    1,    0
   334,116304,19521107,   97,    0
   334,116304,19521108,  180,    0
   334,116304,19521109,   23,    0
   334,116304,19521110,    0,    0
   334,116304,19521111,    4,    0
   334,116304,19521112,    1,    0
   334,116304,19521113,   19,    0
   334,116304,19521114,    1,    0
   334,116304,19521115,   92,    0
   334,116304,19521116,    4,    0
   334,116304,19521117,   23,    0
   334,116304,19521118,    0,    0
   334,116304,19521119,    0,    0
   334,116304,19521120,    0,    0
   334,116304,19521121,    6,    0
   334,116304,19521122,    9,    0
   334,116304,19521123,    0,    0
   334,116304,19521124,    0,    0
   334,116304,19521125,    0,    0
   334,116304,19521126,    0,    0
   334,116304,19521127,    4,    0
   334,116304,19521128,   14,    0
   334,116304,19521129,    0,    0
   334,116304,19521130,   14,    0
   334,116304,19521201,   14,    0
   334,116304,19521202,    0,    0
   334,116304,19521203,    0,    0
   334,116304,19521204,    0,    0
   334,116304,19521205,    0,    0
   334,116304,19521206,    0,    0
   334,116304,19521207,    0,    0
   334,116304,19521208,    0,    0
   334,116304,19521209,    0,    0
   334,116304,19521210,    0,    0
   334,116304,19521211,    0,    0
   334,116304,19521212,    2,    0
   334,116304,19521213,   30,    0
   334,116304,19521214,    3,    0
   334,116304,19521215,  185,    0
   334,116304,19521216,   47,    0
   334,116304,19521217,    6,    0
   334,116304,19521218,   47,    0
   334,116304,19521219,    8,    0
   334,116304,19521220,    0,    0
   334,116304,19521221,    0,    0
   334,116304,19521222,    4,    0
   334,116304,19521223,    0,    0
   334,116304,19521224,    0,    0
   334,116304,19521225,    0,    0
   334,116304,19521226,    0,    0
   334,116304,19521227,   14,    0
   334,116304,19521228,   31,    0
   334,116304,19521229,   11,    0
   334,116304,19521230,    3,    0
   334,116304,19521231,   38,    0
   334,116304,19530101,   44,    0
   334,116304,19530102,   82,    0
   334,116304,19530103,   17,    0
   334,116304,19530104,    0,    0
   334,116304,19530105,    3,    0
   334,116304,19530106,   21,    0
   334,116304,19530107,   21,    0
